text,font_size,x0,bold,distance_above,line_height,line_len,first_caps,all_caps,is_ending_with_fullstop,page_number,label
Working Together,1.374330845,-0.425347073,0,0.109352295,1.793374736,-0.734011023,1,0,1,1,1
31-May-14,-0.157392961,2.111290263,0,-0.00992362,-0.050824432,-0.749583866,1,0,1,3,0
Appendix A:  ODL Envisioned Phases & Funding,0.280243166,-0.47716977,0,-5.886214739,0.764625676,0.280209427,1,0,1,9,1
"outfits, helping you pack lighter.",0.725910537,0.861576128,0,0.178411375,0.712234073,-0.140008092,0,0,0,2,0
flavored aperitif) being local favorites.,0.444956826,-1.076314541,0,0.170637888,0.441729129,-0.396004535,0,0,0,4,0
Mission Statement:  To provide PTHSD high school students with the opportunity to,1.055961115,-0.768663362,0,0.37687249,2.251252811,2.372994,1,0,1,1,1
3.2 Content,2.318066391,-0.651291723,0,0.279854848,2.26135575,-0.641555752,0,0,1,10,1
"Pétanque is a popular game in the South of France, particularly in Provence. Played with",0.0,0.125754265,0,0.204806069,-0.523115404,0.635143449,1,0,1,3,0
presentations/conferences each year,-0.308198317,-0.623863898,0,0.113646217,-0.333236664,0.228690014,0,0,1,1,0
Clothing,0.725910537,-1.955114875,1,0.267145733,0.732421243,-0.805467361,1,0,1,6,1
Home Town as recorded in the Service Book,-0.137360564,-0.342375212,0,-0.594720439,-0.137358884,0.790877239,1,0,1,1,0
Application form for grant of LTC advance,7.280109889,0.886467302,1,0.039421925,7.280109844,1.162832833,1,0,1,1,1
"instruments, such as the galoubet (a type of flute) and tambourin (a drum), are often used in",0.0,0.125754265,0,0.125717542,-0.523115404,0.762714006,0,0,1,5,0
Religious and Spiritual Traditions,0.0,0.125754265,1,0.454952384,1.911502266,-1.139908579,1,0,1,4,1
"winemaking dates back to Roman times, and the region's diverse terroir contributes to a wide",0.0,0.125754265,0,0.125717997,-0.52156765,0.812984767,0,0,1,3,0
2.6 providing signoff for business planner(s) at key decision points of business plan development;,-0.283377744,-0.421921796,0,0.112599259,-0.303394875,1.040985673,0,0,1,11,0
"and festivals. The city hosts the Toulouse International Art Festival, which features",0.444956826,-1.076312685,0,0.170638449,0.441737383,0.812020063,0,0,1,9,0
"colorful buildings, and historic landmarks. It's a great place to explore the city's past",0.444956826,1.11311035,0,0.171646615,0.441704366,0.864578681,0,0,1,3,0
tradition and enjoy local food and music.,0.0,0.125754265,0,0.125717467,-0.522341527,-0.922180783,0,0,0,3,0
•,-2.247409054,0.018398369,0,0.271960216,-2.247345293,-1.424017963,0,0,1,9,0
is a vibrant city with a rich history. It was an important center during the Roman period and,0.444956826,-1.076313149,0,0.170637968,0.441720874,1.064494463,0,0,1,9,0
rich cultural heritage is reflected in its diverse architecture and vibrant atmosphere. Over the,0.444956826,-1.076312685,0,0.170637968,0.441720874,1.099730585,0,0,1,3,0
Equitable access for all Ontarians:,0.015009781,-0.477245258,1,0.224443771,-0.081168704,-0.504526682,1,0,1,4,1
•,-2.247409054,0.018398369,0,0.273220663,-2.247312276,-1.424017963,0,0,1,5,0
Guidance and Advice:,0.015009781,-0.477562291,1,0.231310566,-0.081171517,-0.874128371,1,0,1,5,1
practices of Agile software development.,-0.157392961,-0.138291844,0,0.082780038,-0.207571181,-0.044476318,0,0,0,10,0
Page 5 of 12,-0.157392961,0.722435503,0,-0.00992362,-0.050824432,-0.769211057,1,0,1,5,0
Cultural Highlights,0.444956826,-1.076312685,0,0.254460768,0.441737383,-0.938484402,1,0,1,11,1
Carnival of Nice,0.0,0.125754265,1,0.205402333,1.911502266,-1.729389703,1,0,1,2,1
Version 2014,-0.157392961,-0.612419137,0,0.271559118,-0.050824432,-0.759071358,1,0,1,7,0
City Exploration,0.725910537,-1.955114875,1,0.267414563,0.73238917,-0.575760057,1,0,1,7,1
Introduction,0.444956826,-1.076312685,1,0.254839592,0.467697126,-1.089686973,1,0,1,1,1
Summer (June to August),0.725910537,-1.955114875,1,0.266742362,0.732414829,-0.300042035,1,0,1,3,1
Hidden Gems,0.444956826,-1.076312685,0,0.25446141,0.441704366,-1.070861426,1,0,1,5,1
Provençal Cuisine,0.0,0.125754265,1,0.20540203,1.911502266,-1.660062285,1,0,1,3,1
Parsippany -Troy Hills STEM Pathways,7.426341072,-0.423958656,1,0.082015013,6.499939255,2.393767511,1,0,1,1,1
10,-0.548611129,3.563852744,0,0.000419697,-0.014723107,-1.581910497,0,0,1,10,0
Join and actively participate in a,-0.308198317,1.240055545,0,-0.057179882,-0.333236664,0.018878121,1,0,1,1,0
proposing for ODL is comparable to TAL‘s experience. TAL’s business planning took several,0.015009781,-0.477245258,0,0.112496443,-0.081171517,1.182415688,0,0,1,4,0
Qualifications Board,-0.157392961,1.829761617,0,-5.273745501,-0.207575322,-0.571146422,1,0,1,7,0
and of learning from others. The ODL is a very practical solution to various problems.,0.015009781,-0.477169624,0,0.112496587,-0.081163077,0.968345015,0,0,0,3,0
2.5 Structure and Course Duration,2.318066391,-0.651291723,0,0.18941816,2.26135575,0.182231903,0,0,1,8,1
"in the world. The Nice Jazz Festival, held in July, is another major event that attracts music",0.444956826,-1.076312685,0,0.170638449,0.441737383,1.026238198,0,0,1,5,0
methods and techniques in their day to day job in Agile projects.,-0.157392961,-0.402946662,0,0.082809026,-0.207571181,0.560644857,0,0,0,7,0
Arts and Crafts,0.0,0.125754265,1,0.454953598,1.911502266,-1.759497594,1,0,1,4,1
Clothing,0.725910537,-1.955114875,1,0.267145135,0.732414829,-0.805467361,1,0,1,4,1
•,-2.247409054,0.018398369,0,0.271960536,-2.247345293,-1.424017963,0,0,1,13,0
portable phone charger. Consider using a luggage scale to avoid overweight baggage,0.725910537,0.861575531,0,0.178411546,0.712221243,1.382834633,0,0,1,8,0
Language and Literature,0.0,0.125754265,1,-1.39341429,1.912276143,-1.431083775,1,0,1,2,1
"important contemporary performing arts events in the world. The festival features theater,",0.444956826,-1.076312685,0,0.170637808,0.441737383,1.043187881,0,0,1,7,0
l'Hôtel de Ville or the food market at Place Richelme.,0.444956826,1.113109422,0,0.170638449,0.441737383,0.019087445,0,0,0,8,0
Key Attractions,0.444956826,-1.076309901,0,0.25446157,0.441720874,-1.026624972,1,0,1,13,1
Truﬄe Hunting,0.0,-0.437811143,1,0.205640778,1.911502266,-1.752366812,1,0,1,3,1
"Packing for a trip to the South of France involves considering the season, planned activities,",0.725910537,-1.955114875,0,0.267145819,0.712240488,1.561348902,1,0,1,9,0
Music and Dance,0.0,0.125754265,1,0.454952991,1.911502266,-1.689774035,1,0,1,5,1
Traditional Sports and Games,0.0,0.125754265,1,0.454952991,1.911502266,-1.252020789,1,0,1,3,1
Packing for Adults,0.725910537,-1.955114875,1,0.266743045,0.732414829,-0.515358024,1,0,1,4,1
Cultural Highlights,0.444956826,-1.076312685,0,0.255090992,0.441737383,-0.938484402,1,0,1,3,1
Cultural Highlights,0.444956826,-1.076312685,0,0.254461089,0.441737383,-0.938484402,1,0,1,10,1
2.3 Learning Objectives,2.318066391,-0.651291723,0,0.279784174,2.26135575,-0.205534962,0,0,1,7,1
Key Attractions,0.444956826,-1.076312685,0,0.25446157,0.441720874,-1.026624887,1,0,1,12,1
Aerospace Industry,0.444956826,-1.076312685,0,0.25446141,0.441704366,-0.912208604,1,0,1,9,1
•,-1.377580224,-0.546769374,0,0.288498966,-1.377545417,-1.032817771,0,0,1,3,0
Technological Support:,0.015009781,-0.477562291,1,0.231310422,-0.081168704,-0.826779739,1,0,1,5,1
Ontario’s Libraries,1.374330845,-0.425347073,0,0.108750931,1.793374736,-0.712396038,1,0,1,1,1
LTC is to be availed.,-0.137360564,-0.342375212,0,0.357017605,-0.137180923,-0.087821106,1,0,0,1,0
3. Overview of the Foundation Level Extension – Agile Tester,3.482988507,-0.651291723,0,0.474591416,3.423201282,1.637915802,0,0,1,10,1
What could the ODL really mean?,0.015009781,-0.477562218,0,0.369267824,0.515238061,-0.467908967,1,0,1,5,1
Key Attractions,0.444956826,-1.076312685,0,0.25446157,0.441720874,-1.026624887,1,0,1,11,1
2.4 Entry Requirements,2.318066391,-0.651291723,0,0.189388932,2.26135575,-0.20533807,0,0,1,8,1
a versatile dress or a pair of stylish shoes.,0.725910537,0.861575531,0,0.178411546,0.712221243,0.122910011,0,0,0,4,0
Training:,0.015009781,-0.477562291,1,0.111351953,-0.081168704,-1.326791957,1,0,1,5,1
1. Preamble,-0.283377744,-0.47716977,1,0.366570817,-0.303394875,-1.288011484,0,0,1,11,1
Conclusion,0.725910537,-1.955114875,1,-4.644556889,0.732421243,-0.72832165,1,0,1,9,1
will oﬀer valuable insights into each city's charm and allure.,0.444956826,-1.076310829,0,0.170637968,0.441720874,0.192375085,0,0,0,1,0
Table of Contents,3.482988507,-0.651291723,1,0.363430495,3.423205422,-0.303933086,1,0,1,4,1
"Community Services Cluster, ADM’s and Deputy Ministers.",-0.283377744,-0.076355336,0,0.112599474,-0.303393468,-0.0097006,1,0,0,13,0
•,-1.377580224,-0.546769374,0,0.286751449,-1.377545417,-1.032817771,0,0,1,8,0
Artistic Heritage,0.444956826,-1.076312685,0,0.25446141,0.441704366,-1.001014273,1,0,1,8,1
The South of France has inspired many writers and poets over the centuries. The troubadours,0.0,0.125754265,0,0.204806069,-0.523115404,0.795190681,1,0,1,2,0
"community will be available by August 1, 2003 and that there will be an opportunity",0.015009781,-0.131730782,0,0.112496299,-0.081168704,0.977611221,0,0,1,7,0
"the various traditions and cultural aspects of the South of France, providing a deep",0.0,0.125754265,0,0.125717542,-0.523115404,0.438254339,0,0,1,1,0
"Languedoc, and the Rhône Valley producing some of the finest wines in the world. Wine is an",0.0,0.125754265,0,0.125717391,-0.52156765,0.80112473,1,0,1,3,0
Avignon: The City of Popes,0.444956826,-1.076312685,1,-0.188603817,0.467697126,-0.675260178,1,0,1,7,1
Milestones,0.280243166,-0.41958893,0,0.427297011,0.764629896,-1.192714815,1,0,1,7,1
International,-0.157392961,1.94808895,0,-5.454617679,-0.207575322,-0.771716444,1,0,1,5,0
"Transportation: The region is well-connected by an extensive network of trains,",0.444956826,1.113109422,1,-0.001634134,0.467688871,0.76279388,1,0,1,2,0
"Church of St. Trophime: This Romanesque church, built in the 12th century, is known",0.444956826,1.113109422,0,-0.000373687,0.441704366,0.877224375,1,0,1,12,0
"heritage. One of the most distinctive customs is the ""13 Desserts,"" a feast of thirteen diﬀerent",0.0,3.507146717,0,0.125717391,-0.52156765,0.7650438,0,0,1,4,0
Local Experiences,0.444956826,-1.076311757,0,0.25446141,0.441704366,-0.950790821,1,0,1,3,1
"Avignon is famous for its annual Festival d'Avignon, held in July, which is one of the most",0.444956826,-1.076312685,0,0.255091633,0.441737383,0.996947754,1,0,1,7,0
Local points of entry:,0.015009781,-0.477562291,1,-6.219922614,-0.081160264,-0.935232909,1,0,1,5,1
2. Introduction to Foundation Level Agile Tester Extension,3.482988507,-0.651291723,0,0.499084509,3.423201282,1.532883969,0,0,1,7,1
"traditions. The city hosts the Guitares au Palais festival, which celebrates guitar music in",0.444956826,-1.076312685,0,0.170638449,0.441737383,0.961732905,0,0,1,11,0
Spring (March to May),0.725910537,-1.955114875,1,0.267145733,0.732421243,-0.391025501,1,0,1,3,1
4. References,3.482988507,-0.651291723,0,0.499084509,3.423201282,-0.447382598,0,0,1,12,1
educational programs dedicated to its preservation.,0.0,0.125754265,0,0.125717542,-0.523115404,-0.566828198,0,0,0,2,0
"of art and learning for centuries, attracting artists, writers, and scholars.",0.444956826,-1.076307117,0,0.170637968,0.441720874,0.511676621,0,0,0,8,0
"Beach Bag: A large, waterproof bag for essentials.",0.725910537,0.861576128,1,-0.006411035,0.732414829,0.377871268,1,0,0,7,0
Aix-en-Provence: A City of Art and Culture,0.444956826,-1.076312685,1,-6.053704098,0.467697126,-0.225909848,1,0,1,8,1
Hiking and Outdoor Activities,0.725910537,-1.955114875,1,0.266742704,0.732414829,-0.172388507,1,0,1,7,1
Packing for Kids,0.725910537,-1.955114875,1,-0.207178384,0.732421243,-0.579911401,1,0,1,6,1
"Rémy-de-Provence in May. These festivals feature parades of sheep, goats, and cattle,",0.0,-2.12850737,0,0.125717997,-0.52156765,0.543608383,1,0,1,2,0
History,0.444956826,-1.076312685,0,0.254839672,0.441729129,-1.248472934,1,0,1,12,1
For the Ontario government it could mean:,0.015009781,-0.477201327,1,0.230166507,-0.081171517,-0.232770422,1,0,1,6,1
History,0.444956826,-1.076312685,0,0.254839672,0.441729129,-1.248472934,1,0,1,13,1
7. Meetings,-0.283377744,-0.477170795,1,0.218852034,-0.303394875,-1.247478487,0,0,1,12,1
For each Ontario library it could mean:,0.015009781,-0.477201181,1,0.230166507,-0.081171517,-0.365813037,1,0,1,6,1
Course Camarguaise,0.0,-1.001376552,1,0.205641082,1.911502266,-1.562211639,1,0,1,3,1
des Peintres and the Bibémus Quarry.,0.444956826,1.113109422,0,0.170638449,0.441704366,-0.409308731,0,0,0,8,0
8. Lines of Accountability and Communication,-0.283377744,-0.477170795,1,0.218851459,-0.303394875,-0.208551008,0,0,1,12,1
"and celebrations, with participants forming long chains and weaving through the streets.",0.0,0.125754265,0,0.125717542,-0.524663159,0.635903088,0,0,0,5,0
4.2 Documents and Web Sites,2.318066391,-0.651291723,0,0.27921243,2.26135575,0.040860196,0,0,1,12,1
Cultural Highlights,0.444956826,-1.076312685,0,0.25446141,0.441737383,-0.938484402,1,0,1,12,1
#NAME?,-0.283377744,-0.419590907,0,0.112599259,-0.303394875,-0.520588624,0,0,1,14,0
Phase II: Implementing and Transitioning,-0.283377744,-0.477170795,1,0.327451021,-0.303394875,-0.413432151,1,0,1,9,1
Toiletries,0.725910537,-1.955114875,1,0.266742704,0.732414829,-0.782635012,1,0,1,6,1
Pilgrimages,0.0,0.125754265,1,0.205402333,1.911502266,-1.867252258,1,0,1,4,1
•,-0.283377744,-0.304046736,0,0.10837533,0.040007718,-1.61130204,0,0,1,12,0
